Wavelength,Decadic_Abs_coef
302.0,36486.82169
302.5,36486.90122
303.0,36472.73686
303.5,36438.71392
304.0,36385.68275
304.5,36315.83634
305.0,36231.36764
305.5,36134.46964
306.0,36027.33529
306.5,35912.15758
307.0,35791.12946
307.5,35666.44391
308.0,35540.29389
308.5,35414.87239
309.0,35292.25684
309.5,35173.40437
310.0,35058.64261
310.5,34948.29219
311.0,34842.67376
311.5,34742.10793
312.0,34646.91536
312.5,34557.41667
313.0,34473.9325
313.5,34396.78349
314.0,34326.29027
314.5,34262.76707
315.0,34206.23671
315.5,34156.31696
316.0,34112.59569
316.5,34074.66077
317.0,34042.10006
317.5,34014.50143
318.0,33991.45276
318.5,33972.5419
319.0,33957.35674
319.5,33945.48512
320.0,33936.51493
320.5,33930.03404
321.0,33925.63029
321.5,33922.89158
322.0,33921.40576
322.5,33920.771
323.0,33920.8906
323.5,33922.01648
324.0,33924.41965
324.5,33928.37109
325.0,33934.14179
325.5,33942.00275
326.0,33952.22496
326.5,33965.07942
327.0,33980.8371
327.5,33999.76901
328.0,34022.14614
328.5,34048.23947
329.0,34078.32
329.5,34112.65873
330.0,34151.52664
330.5,34195.19472
331.0,34243.93398
331.5,34298.01471
332.0,34357.5921
332.5,34422.57763
333.0,34492.85169
333.5,34568.2947
334.0,34648.78707
334.5,34734.20923
335.0,34824.44158
335.5,34919.36454
336.0,35018.85853
336.5,35122.80395
337.0,35231.08122
337.5,35343.57077
338.0,35460.15299
338.5,35580.70831
339.0,35705.11714
339.5,35833.25989
340.0,35965.01698
340.5,36100.26882
341.0,36238.90725
341.5,36380.87994
342.0,36526.15158
342.5,36674.68688
343.0,36826.45056
343.5,36981.40732
344.0,37139.52187
344.5,37300.75893
345.0,37465.08319
345.5,37632.45938
346.0,37802.85219
346.5,37976.22635
347.0,38152.54654
347.5,38331.77703
348.0,38513.76628
348.5,38698.09555
349.0,38884.30852
349.5,39071.94889
350.0,39260.56033
350.5,39449.68653
351.0,39638.87118
351.5,39827.65795
352.0,40015.59054
352.5,40202.21263
353.0,40387.06789
353.5,40569.70003
354.0,40749.65271
354.5,40926.47688
355.0,41099.96236
355.5,41270.18677
356.0,41437.24483
356.5,41601.23126
357.0,41762.24079
357.5,41920.36813
358.0,42075.708
358.5,42228.35514
359.0,42378.40425
359.5,42525.95007
360.0,42671.08731
360.5,42813.87377
361.0,42954.20775
361.5,43091.94451
362.0,43226.93928
362.5,43359.04732
363.0,43488.12388
363.5,43614.02419
364.0,43736.60352
364.5,43855.7171
365.0,43971.22019
365.5,44082.96802
366.0,44190.79717
366.5,44294.17565
367.0,44392.23407
367.5,44484.0906
368.0,44568.8634
368.5,44645.67062
369.0,44713.63045
369.5,44771.86104
370.0,44819.48055
370.5,44855.60716
371.0,44879.35901
371.5,44889.85429
372.0,44886.21115
372.5,44867.54776
373.0,44833.1692
373.5,44783.58282
374.0,44719.77182
374.5,44642.72059
375.0,44553.41353
375.5,44452.83502
376.0,44341.96947
376.5,44221.80127
377.0,44093.3148
377.5,43957.49447
378.0,43815.32467
378.5,43667.78978
379.0,43515.87421
379.5,43360.56235
380.0,43202.83858
380.5,43043.68731
381.0,42883.94752
381.5,42723.82902
382.0,42563.37151
382.5,42402.61468
383.0,42241.59825
383.5,42080.36189
384.0,41918.9453
384.5,41757.38819
385.0,41595.73024
385.5,41434.01116
386.0,41272.27063
386.5,41110.54836
387.0,40948.88404
387.5,40787.31681
388.0,40625.86371
388.5,40464.51266
389.0,40303.24958
389.5,40142.06041
390.0,39980.93105
390.5,39819.84744
391.0,39658.7955
391.5,39497.76117
392.0,39336.73036
392.5,39175.689
393.0,39014.62301
393.5,38853.51832
394.0,38692.36087
394.5,38531.18902
395.0,38370.4102
395.5,38210.59017
396.0,38052.29533
396.5,37896.09206
397.0,37742.54673
397.5,37592.22574
398.0,37445.69545
398.5,37303.52227
399.0,37166.27257
399.5,37034.51272
400.0,36908.80913
400.5,36789.72816
401.0,36677.8362
401.5,36573.69964
402.0,36477.88486
402.5,36390.79475
403.0,36312.09317
403.5,36241.23519
404.0,36177.6759
404.5,36120.87037
405.0,36070.27367
405.5,36025.34089
406.0,35985.52709
406.5,35950.28736
407.0,35919.07677
407.5,35891.35039
408.0,35866.56331
408.5,35844.17059
409.0,35823.62731
409.5,35804.38856
410.0,35785.90939
410.5,35767.6449
411.0,35749.05016
411.5,35729.63315
412.0,35709.33208
