Wavelength,Decadic_Abs_coef
306.0,29544.68071
306.5,29542.85909
307.0,29538.31488
307.5,29530.76028
308.0,29519.93234
308.5,29505.56813
309.0,29487.40469
309.5,29465.1791
310.0,29438.62841
310.5,29407.48968
311.0,29371.49996
311.5,29330.39632
312.0,29283.91581
312.5,29231.79549
313.0,29173.77242
313.5,29109.58365
314.0,29038.96626
314.5,28961.65729
315.0,28877.3938
315.5,28785.92339
316.0,28687.77779
316.5,28584.80024
317.0,28478.95885
317.5,28372.22174
318.0,28266.55702
318.5,28163.93281
319.0,28066.31721
319.5,27975.67835
320.0,27893.98434
320.5,27823.20328
321.0,27765.3033
321.5,27722.2525
322.0,27696.01901
322.5,27688.57092
323.0,27701.87637
323.5,27737.85647
324.0,27796.68133
324.5,27876.28901
325.0,27974.47267
325.5,28089.02542
326.0,28217.7404
326.5,28358.41074
327.0,28508.82958
327.5,28666.79005
328.0,28830.08528
328.5,28996.50839
329.0,29163.85254
329.5,29329.91083
330.0,29492.47642
330.5,29649.4745
331.0,29800.3162
331.5,29945.34829
332.0,30084.93217
332.5,30219.4292
333.0,30349.20078
333.5,30474.60827
334.0,30596.01306
334.5,30713.77653
335.0,30828.26005
335.5,30939.82501
336.0,31048.83279
336.5,31155.64477
337.0,31260.62232
337.5,31364.12683
338.0,31466.51967
338.5,31568.16223
339.0,31669.41588
339.5,31770.64144
340.0,31872.17381
340.5,31974.31212
341.0,32077.3529
341.5,32181.59264
342.0,32287.32785
342.5,32394.85505
343.0,32504.47075
343.5,32616.47145
344.0,32731.15366
344.5,32848.8139
345.0,32969.74867
345.5,33094.25448
346.0,33222.62784
346.5,33355.16526
347.0,33492.16325
347.5,33633.91832
348.0,33780.72698
348.5,33932.88562
349.0,34090.38138
349.5,34252.21812
350.0,34417.2048
350.5,34584.15034
351.0,34751.86368
351.5,34919.15374
352.0,35084.82946
352.5,35247.69977
353.0,35406.57361
353.5,35560.2599
354.0,35707.56758
354.5,35847.30559
355.0,35978.28285
355.5,36099.3083
356.0,36209.19087
356.5,36306.7395
357.0,36390.7631
357.5,36460.07063
358.0,36513.61728
358.5,36551.57442
359.0,36574.71633
359.5,36583.82159
360.0,36579.66881
360.5,36563.03658
361.0,36534.70348
361.5,36495.44812
362.0,36446.04908
362.5,36387.28496
363.0,36319.93436
363.5,36244.77586
364.0,36162.58807
364.5,36074.14957
365.0,35980.23895
365.5,35881.63482
366.0,35779.11577
366.5,35673.46038
367.0,35565.44725
367.5,35455.85499
368.0,35345.45828
368.5,35234.75824
369.0,35123.8069
369.5,35012.61458
370.0,34901.1916
370.5,34789.54828
371.0,34677.69495
371.5,34565.64194
372.0,34453.39955
372.5,34340.97812
373.0,34228.38798
373.5,34115.63943
374.0,34002.74281
374.5,33889.70843
375.0,33776.54663
375.5,33663.26772
376.0,33549.88203
376.5,33436.39987
377.0,33322.83158
377.5,33209.18747
378.0,33095.47787
378.5,32981.7131
379.0,32867.90349
379.5,32754.06999
380.0,32640.3709
380.5,32527.06002
381.0,32414.39305
381.5,32302.62573
382.0,32192.01377
382.5,32082.8129
383.0,31975.27884
383.5,31869.66732
384.0,31766.23405
384.5,31665.23476
385.0,31566.92516
385.5,31471.56099
386.0,31379.39796
386.5,31290.6918
387.0,31205.69823
387.5,31124.67297
388.0,31047.87175
388.5,30975.55028
389.0,30907.96428
389.5,30845.36949
390.0,30788.02162
390.5,30736.1764
391.0,30690.08954
391.5,30650.01677
392.0,30616.18811
392.5,30588.54264
393.0,30566.83541
393.5,30550.81858
394.0,30540.24428
394.5,30534.86468
395.0,30534.43192
395.5,30538.69814
396.0,30547.4155
396.5,30560.33614
397.0,30577.21222
397.5,30597.79588
398.0,30621.83927
398.5,30649.09454
399.0,30679.31384
399.5,30712.24932
400.0,30747.65312
400.5,30785.27739
401.0,30824.87429
