Wavelength,Decadic_Abs_coef
308.0,25531.45277
308.5,25532.01206
309.0,25533.71378
309.5,25536.43994
310.0,25539.97104
310.5,25544.08753
311.0,25548.5699
311.5,25553.19861
312.0,25557.75415
312.5,25562.01698
313.0,25565.76758
313.5,25568.78642
314.0,25570.85398
314.5,25571.75073
315.0,25571.25715
315.5,25569.1537
316.0,25565.22087
316.5,25559.23913
317.0,25550.98894
317.5,25540.2508
318.0,25526.80516
318.5,25510.4325
319.0,25490.9133
319.5,25468.02804
320.0,25441.55718
320.5,25411.2812
321.0,25376.98057
321.5,25338.43576
322.0,25295.42726
322.5,25247.73554
323.0,25195.14106
323.5,25137.43009
324.0,25074.51927
324.5,25006.45426
325.0,24933.28623
325.5,24855.06633
326.0,24771.84572
326.5,24683.67557
327.0,24590.60705
327.5,24492.6913
328.0,24389.97949
328.5,24282.52279
329.0,24170.37235
329.5,24053.57934
330.0,23932.19491
330.5,23806.27023
331.0,23675.85646
331.5,23541.00477
332.0,23401.7663
332.5,23258.19223
333.0,23110.33371
333.5,22958.24191
334.0,22801.96799
334.5,22641.56311
335.0,22477.10754
335.5,22308.87676
336.0,22137.22651
336.5,21962.51279
337.0,21785.09158
337.5,21605.31886
338.0,21423.55064
338.5,21240.14289
339.0,21055.45161
339.5,20869.83279
340.0,20683.6424
340.5,20497.23645
341.0,20310.97092
341.5,20125.2018
342.0,19940.28507
342.5,19756.57673
343.0,19574.43277
343.5,19394.20917
344.0,19216.26192
344.5,19040.94702
345.0,18868.62044
345.5,18699.63818
346.0,18534.35622
346.5,18373.13057
347.0,18216.31719
347.5,18064.27209
348.0,17917.35125
348.5,17775.88379
349.0,17639.90751
349.5,17509.28174
350.0,17383.86326
350.5,17263.50884
351.0,17148.07526
351.5,17037.41928
352.0,16931.39767
352.5,16829.86721
353.0,16732.68467
353.5,16639.70682
354.0,16550.79044
354.5,16465.79229
355.0,16384.56914
355.5,16306.97778
356.0,16232.87496
356.5,16162.11746
357.0,16094.56206
357.5,16030.06552
358.0,15968.48462
358.5,15909.67612
359.0,15853.49681
359.5,15799.80345
360.0,15748.4528
360.5,15699.30166
361.0,15652.20678
361.5,15607.02494
362.0,15563.61291
362.5,15521.82746
363.0,15481.52536
