Wavelength,Decadic_Abs_coef
313.0,26627.0159
313.5,26599.22925
314.0,26546.41089
314.5,26471.44809
315.0,26377.22881
315.5,26266.64097
316.0,26142.57255
316.5,26007.91146
317.0,25865.54568
317.5,25718.36313
318.0,25569.25177
318.5,25421.09954
319.0,25276.7944
319.5,25139.22427
320.0,25011.27712
320.5,24895.84089
321.0,24795.80325
321.5,24713.18843
322.0,24647.2348
322.5,24596.61994
323.0,24560.02146
323.5,24536.11697
324.0,24523.58407
324.5,24521.10034
325.0,24527.34341
325.5,24540.99085
326.0,24560.72029
326.5,24585.20931
327.0,24613.13552
327.5,24643.17651
328.0,24674.0099
328.5,24704.31327
329.0,24732.76424
329.5,24758.04039
330.0,24778.81934
330.5,24793.77868
331.0,24801.59601
331.5,24800.9992
332.0,24791.53566
332.5,24773.4201
333.0,24746.8866
333.5,24712.16926
334.0,24669.50217
334.5,24619.11943
335.0,24561.25513
335.5,24496.14337
336.0,24424.01823
336.5,24345.11383
337.0,24259.66424
337.5,24167.90356
338.0,24070.0659
338.5,23966.38533
339.0,23857.09597
339.5,23742.4319
340.0,23622.62721
340.5,23497.916
341.0,23368.53237
341.5,23234.71041
342.0,23096.68422
342.5,22954.68788
343.0,22808.9555
343.5,22659.72116
344.0,22507.21897
344.5,22351.68302
345.0,22193.34826
345.5,22032.49588
346.0,21869.47535
346.5,21704.64164
347.0,21538.34973
347.5,21370.9546
348.0,21202.81123
348.5,21034.2746
349.0,20865.69969
349.5,20697.44147
350.0,20529.85493
350.5,20363.29505
351.0,20198.11679
351.5,20034.67515
352.0,19873.3251
352.5,19714.42162
353.0,19558.31968
353.5,19405.37428
354.0,19255.94037
354.5,19110.37296
355.0,18969.027
355.5,18832.19266
356.0,18699.88661
356.5,18572.05343
357.0,18448.63771
357.5,18329.58404
358.0,18214.837
358.5,18104.34118
359.0,17998.04115
359.5,17895.88151
360.0,17797.80684
360.5,17703.76173
361.0,17613.69076
361.5,17527.53851
362.0,17445.24957
362.5,17366.76852
363.0,17292.03996
363.5,17221.00845
364.0,17153.6186
364.5,17089.81212
365.0,17029.51177
365.5,16972.63264
366.0,16919.08978
366.5,16868.79825
367.0,16821.67311
367.5,16777.62941
368.0,16736.58222
368.5,16698.44659
369.0,16663.13758
369.5,16630.57024
370.0,16600.65964
370.5,16573.32083
371.0,16548.46886
371.5,16526.0188
372.0,16505.8857
372.5,16487.98463
373.0,16472.23063
373.5,16458.53876
374.0,16446.82409
374.5,16437.00167
375.0,16428.98656
375.5,16422.69381
376.0,16418.03849
376.5,16414.93564
377.0,16413.30034
377.5,16413.04762
378.0,16414.07947
378.5,16416.04472
379.0,16418.36324
379.5,16420.44664
380.0,16421.70655
380.5,16421.55458
381.0,16419.40233
381.5,16414.66144
382.0,16406.7435
382.5,16395.06014
383.0,16379.02297
383.5,16358.04361
384.0,16331.53367
384.5,16298.90476
385.0,16259.56851
385.5,16212.93652
386.0,16158.42042
386.5,16095.43181
387.0,16023.39011
387.5,15942.17397
388.0,15852.369
388.5,15754.62102
389.0,15649.57587
389.5,15537.87938
390.0,15420.17739
390.5,15297.11574
391.0,15169.34025
391.5,15037.49677
392.0,14902.23112
392.5,14764.18915
393.0,14624.01668
393.5,14482.35955
394.0,14339.8636
394.5,14197.17467
395.0,14054.93857
395.5,13913.80116
396.0,13774.40826
396.5,13637.40571
397.0,13503.43934
397.5,13373.05186
398.0,13246.29101
398.5,13123.05629
399.0,13003.24718
399.5,12886.76313
400.0,12773.5036
400.5,12663.36807
401.0,12556.256
401.5,12452.06685
402.0,12350.70008
402.5,12252.05517
403.0,12156.03157
403.5,12062.52876
404.0,11971.44619
404.5,11882.68334
405.0,11796.13965
405.5,11711.71461
406.0,11629.30768
406.5,11548.81831
407.0,11470.14598
407.5,11393.19015
408.0,11317.85029
408.5,11244.02585
409.0,11171.61631
409.5,11100.52113
410.0,11030.63977
410.5,10961.8717
411.0,10894.11722
411.5,10827.28495
412.0,10761.28826
412.5,10696.04057
413.0,10631.4553
413.5,10567.44588
414.0,10503.92573
414.5,10440.80827
415.0,10378.00693
415.5,10315.43513
416.0,10253.00629
416.5,10190.63384
417.0,10128.2312
417.5,10065.71179
418.0,10002.98904
418.5,9939.97636
419.0,9876.58719
419.5,9812.73494
420.0,9748.33304
420.5,9683.29491
421.0,9617.53397
421.5,9550.96365
422.0,9483.49738
422.5,9415.07431
423.0,9345.7376
423.5,9275.55662
424.0,9204.60075
424.5,9132.93939
425.0,9060.6419
425.5,8987.77768
426.0,8914.41609
426.5,8840.62653
427.0,8766.47838
427.5,8692.04101
428.0,8617.38381
428.5,8542.57616
429.0,8467.68745
429.5,8392.78704
430.0,8317.94434
430.5,8243.22871
431.0,8168.70953
431.5,8094.4562
432.0,8020.53809
432.5,7947.02458
433.0,7873.98505
433.5,7801.4889
434.0,7729.60549
434.5,7658.40421
435.0,7587.95444
435.5,7518.32556
436.0,7449.58696
436.5,7381.80801
437.0,7315.0581
437.5,7249.40661
438.0,7184.92292
438.5,7121.67642
439.0,7059.73647
439.5,6999.17248
440.0,6940.05381
440.5,6882.44984
441.0,6826.42997
441.5,6772.06357
442.0,6719.42003
442.5,6668.56871
443.0,6619.57902
443.5,6572.52032
444.0,6527.44438
444.5,6484.2896
445.0,6442.9495
445.5,6403.31748
446.0,6365.28695
446.5,6328.75132
447.0,6293.60398
447.5,6259.73836
448.0,6227.04785
448.5,6195.42587
449.0,6164.76581
449.5,6134.96109
450.0,6105.9051
450.5,6077.49127
451.0,6049.61299
451.5,6022.16367
452.0,5995.03672
452.5,5968.12554
453.0,5941.32355
453.5,5914.52413
454.0,5887.62072
454.5,5860.5067
455.0,5833.07551
455.5,5805.25798
456.0,5777.09559
456.5,5748.65026
457.0,5719.98389
457.5,5691.15838
458.0,5662.23564
458.5,5633.27758
459.0,5604.34609
459.5,5575.50308
460.0,5546.81046
460.5,5518.33012
461.0,5490.12398
461.5,5462.25394
462.0,5434.7819
462.5,5407.76976
463.0,5381.27944
463.5,5355.37282
464.0,5330.11183
464.5,5305.55836
465.0,5281.77431
465.5,5258.8216
466.0,5236.76212
466.5,5215.65778
467.0,5195.57048
467.5,5176.56213
468.0,5158.69463
468.5,5142.02989
469.0,5126.62981
469.5,5112.55629
470.0,5099.86842
470.5,5088.5681
471.0,5078.60399
471.5,5069.92268
472.0,5062.47081
472.5,5056.19498
473.0,5051.04181
473.5,5046.95792
474.0,5043.88991
474.5,5041.78442
475.0,5040.58804
