wl,k
300,0.57762
302,0.57788
304,0.57824
306,0.57863
308,0.57901
310,0.5793
312,0.57946
314,0.5794
316,0.57906
318,0.57836
320,0.57724
322,0.57562
324,0.57345
326,0.57066
328,0.56722
330,0.56307
332,0.55819
334,0.55257
336,0.54619
338,0.53908
340,0.53124
342,0.52273
344,0.51358
346,0.50386
348,0.49366
350,0.48309
352,0.47228
354,0.46143
356,0.45078
358,0.44065
360,0.43144
362,0.42355
364,0.41741
366,0.41333
368,0.41144
370,0.41156
372,0.41318
374,0.41544
376,0.41726
378,0.41746
380,0.41503
382,0.40926
384,0.39988
386,0.38705
388,0.37137
390,0.35369
392,0.33504
394,0.31646
396,0.29889
398,0.28312
400,0.26974
402,0.25915
404,0.25159
406,0.24721
408,0.24609
410,0.24836
412,0.25421
414,0.26393
416,0.27796
418,0.2969
420,0.32143
422,0.35221
424,0.38956
426,0.433
428,0.48043
430,0.52737
432,0.56704
434,0.59152
436,0.59469
438,0.57516
440,0.53713
442,0.48812
444,0.43568
446,0.3852
448,0.33959
450,0.29985
452,0.2659
454,0.23714
456,0.21284
458,0.19225
460,0.17472
462,0.15972
464,0.14678
466,0.13555
468,0.12573
470,0.11709
472,0.10944
474,0.10261
476,0.09649
478,0.09098
480,0.08597
482,0.08142
484,0.07726
486,0.07343
488,0.06991
490,0.06665
492,0.06362
494,0.06081
496,0.05818
498,0.05572
500,0.05341
502,0.05124
504,0.0492
506,0.04727
508,0.04545
510,0.04372
512,0.04208
514,0.04053
516,0.03905
518,0.03764
520,0.03629
522,0.03501
524,0.03379
526,0.03261
528,0.03149
530,0.03042
532,0.02939
534,0.0284
536,0.02745
538,0.02654
540,0.02567
542,0.02483
544,0.02402
546,0.02324
548,0.02249
550,0.02177
552,0.02107
554,0.0204
556,0.01975
558,0.01913
560,0.01852
562,0.01794
564,0.01738
566,0.01683
568,0.01631
570,0.0158
572,0.01531
574,0.01484
576,0.01438
578,0.01394
580,0.01351
582,0.0131
584,0.0127
586,0.01231
588,0.01194
590,0.01158
592,0.01123
