wl,k
206.64,1.7728
207.67,1.7923
208.7,1.8121
209.75,1.8324
210.81,1.853
211.88,1.874
212.95,1.8955
214.04,1.9174
215.15,1.9397
216.26,1.9625
217.38,1.9859
218.52,2.0097
219.67,2.034
220.83,2.0588
222,2.0842
223.18,2.1102
224.38,2.1368
225.59,2.1639
226.81,2.1917
228.05,2.2201
229.3,2.2491
230.57,2.2788
231.84,2.3091
233.14,2.3401
234.44,2.3718
235.77,2.4041
237.1,2.4371
238.45,2.4708
239.82,2.505
241.2,2.5398
242.6,2.5752
244.02,2.611
245.45,2.6472
246.9,2.6837
248.37,2.7203
249.85,2.757
251.35,2.7933
252.87,2.8293
254.41,2.8645
255.97,2.8985
257.55,2.9312
259.14,2.9618
260.76,2.99
262.39,3.0151
264.05,3.0365
265.73,3.0536
267.43,3.0655
269.15,3.0716
270.89,3.0712
272.66,3.0637
274.45,3.0486
276.26,3.0256
278.1,2.9947
279.96,2.956
281.85,2.91
283.76,2.8574
285.7,2.7991
287.66,2.7363
289.66,2.6702
291.68,2.602
293.72,2.533
295.8,2.4643
297.91,2.397
300.05,2.3318
302.22,2.2695
304.42,2.2105
306.65,2.1552
308.91,2.1039
311.21,2.0565
313.54,2.0131
315.91,1.9737
318.32,1.9381
320.76,1.9062
323.24,1.8777
325.76,1.8524
328.31,1.8302
330.91,1.8109
333.55,1.7942
336.23,1.7799
338.96,1.7678
341.73,1.7578
344.54,1.7496
347.41,1.7432
350.32,1.7382
353.28,1.7347
356.29,1.7325
359.35,1.7313
362.46,1.7312
365.63,1.732
368.86,1.7335
372.14,1.7357
375.48,1.7386
378.88,1.7419
382.35,1.7456
385.88,1.7496
389.47,1.7538
393.13,1.7582
396.86,1.7626
400.66,1.767
404.54,1.7713
408.49,1.7755
412.52,1.7795
416.63,1.7835
420.82,1.7875
425.1,1.7919
429.47,1.7971
433.92,1.804
438.47,1.7691
443.12,1.6587
447.86,1.6034
452.71,1.5622
457.67,1.5283
462.73,1.4992
467.91,1.4742
473.2,1.4534
478.62,1.438
484.16,1.7698
489.83,1.5138
495.64,1.3304
501.58,1.1689
507.67,1.0161
513.91,0.86563
520.3,0.73073
526.86,0.72078
533.58,0.71021
540.48,0.69901
547.56,0.68717
554.82,0.6747
562.28,0.66162
569.94,0.64796
577.82,0.63374
585.91,0.61898
594.24,0.60373
602.81,0.58799
611.62,0.57179
620.7,0.55517
630.05,0.53814
639.69,0.52074
649.63,0.50298
659.88,0.48491
670.46,0.46655
681.38,0.44795
692.67,0.42913
704.33,0.41014
716.4,0.39102
728.89,0.37184
741.82,0.35264
755.21,0.3335
769.1,0.31448
783.51,0.29567
798.47,0.27716
814.02,0.25904
830.18,0.24145
846.99,0.2245
864.5,0.20834
882.75,0.19314
901.79,0.17909
921.66,0.16638
942.43,0.15525
964.16,0.14597
986.91,0.13883
1010.8,0.13417
1035.8,0.13232
1062.1,0.13144
1089.8,0.12998
1119,0.12766
1149.7,0.1239
1182.2,0.11656
1216.6,0.10917
1253.1,0.10848
1291.8,0.10723
1332.9,0.10526
1376.8,0.10232
1423.7,0.09802
1473.9,0.09172
1527.7,0.08227
1585.7,0.06699
1648.2,0.03085
1715.8,0.01609
1789.2,0.01543
1869.2,0.01475
1956.6,0.01407
2052.7,0.0134
2158.6,0.01272
2276.1,0.01204
2407.1,0.01136
2554.1,0.01069
2720.3,0.01002
2909.5,0.00936
3127.1,0.00869
3379.8,0.00803
3677,0.00737
4031.5,0.00672
4461.6,0.00606
4994.5,0.00541
5671.9,0.00476
6561.9,0.00411
7783.2,0.00346
9563.1,0.00282
12398,0.00217
