wl,k
206.63,2.472
210.14,2.557
213.76,2.625
217.51,2.71
221.39,2.815
225.42,2.936
229.59,3.079
233.92,3.255
238.42,3.484
243.1,3.795
247.96,4.084
253.02,4.047
258.29,3.77
263.79,3.452
269.52,3.169
275.51,2.919
281.77,2.563
288.33,2.26
295.19,2.069
302.39,1.969
309.95,1.92
317.9,1.904
326.26,1.909
335.08,1.931
344.39,1.965
354.23,2.013
364.65,2.076
375.7,2.162
387.44,2.288
399.94,2.146
413.27,1.948
427.52,1.721
442.79,0.991
459.19,0.696
476.85,0.539
495.92,0.441
516.58,0.371
539.04,0.32
563.55,0.276
590.38,0.24
619.9,0.211
652.53,0.179
688.78,0.151
729.29,0.112
774.87,0.091
826.53,0.08
885.57,0.0017
953.69,0
1033.17,0
1127.09,0
1239.8,0
1377.56,0
1549.75,0
1771.14,0
2066.33,0
