wl,k
370.91,1.08456
372.49,1.08198
374.08,1.07604
375.66,1.06668
377.24,1.05387
378.82,1.03767
380.4,1.01821
381.99,0.99568
383.57,0.97035
385.15,0.94255
386.74,0.91265
388.32,0.88105
389.9,0.84818
391.48,0.81446
393.07,0.78029
394.65,0.74605
396.24,0.71207
397.82,0.67867
399.4,0.64608
400.99,0.61452
402.57,0.58415
404.16,0.55507
405.74,0.52738
407.33,0.50113
408.91,0.47633
410.5,0.45299
412.08,0.43109
413.67,0.4106
415.25,0.39148
416.84,0.37367
418.42,0.35713
420.01,0.34181
421.6,0.32763
423.18,0.31456
424.77,0.30252
426.35,0.29148
427.94,0.28137
429.53,0.27216
431.11,0.2638
432.7,0.25625
434.28,0.24947
435.87,0.24344
437.46,0.23814
439.05,0.23353
440.63,0.22962
442.22,0.22638
443.81,0.22383
445.39,0.22197
446.98,0.22081
448.57,0.2204
450.16,0.22079
451.75,0.22202
453.33,0.22421
454.92,0.22746
456.51,0.23189
458.1,0.23764
459.69,0.24476
461.28,0.25315
462.86,0.26232
464.45,0.27128
466.04,0.27866
467.63,0.28339
469.22,0.28559
470.81,0.28658
472.4,0.28803
473.99,0.29116
475.58,0.29665
477.17,0.30479
478.75,0.31574
480.34,0.32968
481.93,0.34687
483.52,0.36773
485.11,0.39284
486.7,0.423
488.29,0.45928
489.88,0.50309
491.47,0.55625
493.06,0.62103
494.66,0.70013
496.24,0.79654
497.84,0.91318
499.43,1.05226
501.02,1.21459
502.61,1.39884
504.2,1.59997
505.79,1.80484
507.38,1.9812
508.97,2.05971
510.56,1.93763
512.15,1.5814
513.74,1.13246
515.34,0.75567
516.93,0.49505
518.52,0.32616
520.11,0.21745
521.7,0.14646
523.29,0.09921
524.88,0.06721
526.47,0.04523
528.07,0.03002
529.66,0.01946
531.25,0.01217
532.84,0.00721
534.43,0.00394
536.03,0.0019
537.62,7.67E-4
539.21,3.2E-4
540.8,2.8E-4
542.4,2.65E-4
543.99,2.51E-4
545.58,2.38E-4
547.17,2.25E-4
548.77,2.13E-4
550.36,2.01E-4
551.95,1.91E-4
553.54,1.8E-4
555.13,1.71E-4
556.73,1.61E-4
558.32,1.53E-4
559.91,1.44E-4
