wl,k
19.07,0.08413
19.09,0.08352
19.1,0.08291
19.12,0.08179
19.13,0.08067
19.15,0.07904
19.16,0.07807
19.18,0.07761
19.19,0.07827
19.21,0.07837
19.22,0.07852
19.24,0.07924
19.25,0.08104
19.27,0.08284
19.28,0.08511
19.3,0.08669
19.31,0.08715
19.33,0.08822
19.34,0.08867
19.36,0.08855
19.37,0.08794
19.39,0.08794
19.4,0.08737
19.42,0.08794
19.43,0.0885
19.45,0.08844
19.46,0.08838
19.48,0.08833
19.49,0.08833
19.51,0.08833
19.53,0.08827
19.54,0.08766
19.56,0.08766
19.57,0.0871
19.59,0.08659
19.6,0.08609
19.62,0.08614
19.63,0.08681
19.65,0.08737
19.66,0.08737
19.68,0.08737
19.7,0.08737
19.71,0.08805
19.73,0.08867
19.74,0.08929
19.76,0.09047
19.77,0.09216
19.79,0.09379
19.81,0.09423
19.82,0.09411
19.84,0.09405
19.85,0.09405
19.87,0.09461
19.89,0.09579
19.9,0.09735
19.92,0.09772
19.93,0.09754
19.95,0.09741
19.97,0.09668
19.98,0.09594
20,0.09422
20.01,0.09366
20.03,0.0925
20.05,0.09188
20.06,0.09077
20.08,0.08961
20.09,0.088
20.11,0.08694
20.13,0.08655
20.14,0.08666
20.16,0.08727
20.18,0.08727
20.19,0.08727
20.21,0.08677
20.23,0.08682
20.24,0.08693
20.26,0.08704
20.28,0.08822
20.29,0.08878
20.31,0.0899
20.33,0.09046
20.34,0.09157
20.36,0.09146
20.38,0.09134
20.39,0.09073
20.41,0.09073
20.43,0.09011
20.44,0.09006
20.46,0.08889
20.48,0.08783
20.49,0.08733
20.51,0.08677
20.53,0.08632
20.54,0.08581
20.56,0.08592
20.58,0.08603
20.6,0.08726
20.61,0.08838
20.63,0.08889
20.65,0.08883
20.66,0.08883
20.68,0.08827
20.7,0.08827
20.72,0.08827
20.73,0.08771
20.75,0.08777
20.77,0.08721
20.79,0.08665
20.8,0.08676
20.82,0.08681
20.84,0.08687
20.86,0.08692
20.87,0.08754
20.89,0.08754
20.91,0.0881
20.93,0.08805
20.94,0.08749
20.96,0.08642
20.98,0.08534
21,0.08545
21.01,0.08505
21.03,0.08516
21.05,0.0859
21.07,0.08714
21.09,0.08834
21.1,0.08947
21.12,0.0901
21.14,0.09067
21.16,0.09067
21.18,0.09129
21.19,0.09135
21.21,0.09141
21.23,0.0921
21.25,0.09324
21.27,0.09324
21.28,0.09393
21.3,0.09456
21.32,0.09577
21.34,0.09697
21.36,0.09811
21.38,0.09925
21.4,0.09918
21.41,0.09975
21.43,0.09975
21.45,0.10039
21.47,0.10102
21.49,0.10159
21.51,0.10216
21.52,0.1033
21.54,0.10387
