wl,k
301.58,0.35426
303.18,0.34508
304.78,0.3364
306.38,0.32817
307.98,0.32038
309.58,0.313
311.18,0.30601
312.78,0.29938
314.38,0.29308
315.98,0.28709
317.58,0.2814
319.18,0.27599
320.78,0.27082
322.38,0.2659
323.98,0.26121
325.58,0.25672
327.18,0.25245
328.78,0.24839
330.38,0.24453
331.98,0.24087
333.58,0.23743
335.18,0.23422
336.78,0.23124
338.38,0.22852
339.98,0.22608
341.58,0.22395
343.18,0.22214
344.77,0.22067
346.37,0.21959
347.97,0.21889
349.57,0.2186
351.17,0.21873
352.77,0.21928
354.37,0.22024
355.97,0.2216
357.57,0.22332
359.17,0.22536
360.77,0.22769
362.37,0.23022
363.96,0.2329
365.56,0.23566
367.16,0.2384
368.76,0.24105
370.36,0.24353
371.96,0.24576
373.56,0.24768
375.16,0.24922
376.75,0.25033
378.35,0.251
379.95,0.25119
381.55,0.25091
383.15,0.25019
384.75,0.24904
386.35,0.24754
387.94,0.24575
389.54,0.24373
391.14,0.24158
392.74,0.23938
394.34,0.23721
395.93,0.23513
397.53,0.23319
399.13,0.23142
400.73,0.22982
402.33,0.22838
403.92,0.22704
405.52,0.22576
407.12,0.22448
408.72,0.22311
410.32,0.22162
411.91,0.21996
413.51,0.21811
415.11,0.21607
416.71,0.21388
418.3,0.21158
419.9,0.20924
421.5,0.20696
423.09,0.2048
424.69,0.20287
426.29,0.20125
427.89,0.19999
429.48,0.19916
431.08,0.19879
432.68,0.19891
434.27,0.1995
435.87,0.20057
437.47,0.20208
439.06,0.20399
440.66,0.20626
442.26,0.20884
443.85,0.21168
445.45,0.21473
447.05,0.21792
448.64,0.22123
450.24,0.22459
451.83,0.22797
453.43,0.23133
455.03,0.23464
456.62,0.23788
458.22,0.241
459.81,0.24401
461.41,0.24686
463.01,0.24956
464.6,0.25209
466.2,0.25443
467.79,0.25659
469.39,0.25855
470.98,0.26032
472.58,0.26189
474.17,0.26326
475.77,0.26443
477.36,0.26542
478.96,0.26622
480.55,0.26684
482.15,0.2673
483.74,0.26759
485.34,0.26773
486.93,0.26774
488.53,0.26762
490.12,0.26738
491.72,0.26705
493.31,0.26664
494.9,0.26616
496.5,0.26562
498.09,0.26505
499.69,0.26445
501.28,0.26385
502.87,0.26325
504.47,0.26267
506.06,0.26214
507.65,0.26165
509.25,0.26123
510.84,0.26088
512.43,0.26061
514.03,0.26044
515.62,0.26038
517.21,0.26042
518.81,0.26058
520.4,0.26087
521.99,0.26127
523.58,0.2618
525.18,0.26245
526.77,0.26322
528.36,0.26411
529.95,0.26512
531.55,0.26623
533.14,0.26744
534.73,0.26874
536.32,0.27013
537.91,0.27158
539.51,0.27309
541.1,0.27464
542.69,0.27623
544.28,0.27785
545.87,0.27947
547.46,0.28109
549.05,0.2827
550.65,0.28429
552.24,0.28584
553.83,0.28736
555.42,0.28883
557.01,0.29025
558.6,0.29161
560.19,0.29292
561.78,0.29418
563.37,0.29538
564.96,0.29654
566.55,0.29766
568.14,0.29874
569.73,0.2998
571.32,0.30085
572.91,0.30191
574.5,0.30298
576.09,0.30408
577.68,0.30522
579.27,0.30643
580.86,0.30771
582.45,0.30909
584.03,0.31057
585.62,0.31217
587.21,0.31389
588.8,0.31575
590.39,0.31775
591.98,0.3199
593.57,0.32219
595.15,0.32462
596.74,0.32719
598.33,0.32987
599.92,0.33267
601.51,0.33556
603.09,0.33852
604.68,0.34153
606.27,0.34456
607.86,0.34758
609.44,0.35056
611.03,0.35347
612.62,0.35627
614.2,0.35895
615.79,0.36145
617.38,0.36375
618.96,0.36584
620.55,0.36767
622.13,0.36923
623.72,0.37051
625.31,0.3715
626.89,0.37218
628.48,0.37257
630.06,0.37268
631.65,0.37251
633.23,0.37209
634.82,0.37146
636.4,0.37065
637.99,0.3697
639.57,0.36867
641.16,0.36761
642.74,0.36658
644.33,0.36564
645.91,0.36486
647.5,0.36429
649.08,0.36399
650.66,0.36402
652.25,0.36441
653.83,0.36521
655.41,0.36643
657,0.36807
658.58,0.37015
660.16,0.37261
661.75,0.37542
663.33,0.37853
664.91,0.38184
666.49,0.38526
668.08,0.3887
669.66,0.39202
671.24,0.39512
672.82,0.39785
674.41,0.40009
675.99,0.40173
677.57,0.40264
679.15,0.40273
680.73,0.4019
682.31,0.4001
683.89,0.39726
685.47,0.39335
687.06,0.38835
688.64,0.38228
690.22,0.37515
691.8,0.367
693.38,0.35789
694.96,0.34787
696.54,0.33705
698.12,0.32549
699.7,0.3133
701.27,0.30057
702.85,0.28742
704.43,0.27394
706.01,0.26023
707.59,0.24642
709.17,0.23257
710.75,0.21881
712.33,0.2052
713.9,0.19182
715.48,0.17877
717.06,0.16608
718.64,0.15383
720.22,0.14205
721.79,0.13079
723.37,0.12008
724.95,0.10994
726.52,0.10038
728.1,0.09141
729.68,0.08303
731.25,0.07523
732.83,0.06802
734.41,0.06136
735.98,0.05524
737.56,0.04964
739.13,0.04454
740.71,0.0399
742.29,0.03571
743.86,0.03192
745.44,0.02851
747.01,0.02546
748.59,0.02273
750.16,0.0203
751.73,0.01814
753.31,0.01622
754.88,0.01453
756.46,0.01303
758.03,0.01171
759.6,0.01055
761.18,0.00953
762.75,0.00863
764.32,0.00785
765.9,0.00716
767.47,0.00656
769.04,0.00603
770.61,0.00557
772.19,0.00516
773.76,0.00481
775.33,0.00449
776.9,0.00422
778.47,0.00398
780.04,0.00376
781.62,0.00357
783.19,0.0034
784.76,0.00325
786.33,0.00312
787.9,0.003
789.47,0.00289
791.04,0.00279
792.61,0.0027
794.18,0.00262
795.75,0.00254
797.32,0.00248
798.89,0.00241
800.46,0.00235
802.02,0.0023
803.59,0.00225
805.16,0.0022
806.73,0.00216
808.3,0.00211
809.87,0.00208
811.43,0.00204
813,0.002
814.57,0.00197
816.14,0.00194
817.7,0.00191
819.27,0.00188
820.84,0.00185
822.4,0.00182
823.97,0.00179
825.54,0.00177
827.1,0.00175
828.67,0.00172
830.23,0.0017
831.8,0.00168
833.36,0.00166
834.93,0.00164
836.49,0.00161
838.06,0.0016
839.62,0.00158
841.19,0.00156
842.75,0.00154
844.31,0.00152
845.88,0.0015
847.44,0.00149
849,0.00147
850.57,0.00145
852.13,0.00144
853.69,0.00142
855.25,0.00141
856.82,0.00139
858.38,0.00138
859.94,0.00136
861.5,0.00135
863.06,0.00134
864.62,0.00132
866.18,0.00131
867.75,0.00129
