wl,k
377.1,0.29159
387.1,0.28002
400,0.27232
414.6,0.27427
429.2,0.2743
440.2,0.27625
451.2,0.28013
460.3,0.284
469.5,0.29174
481.4,0.31108
489.6,0.3304
496.9,0.35359
504.2,0.38064
509.7,0.39996
513.4,0.42701
517,0.45405
520.7,0.4811
527.1,0.51973
531.7,0.55257
535.3,0.58155
539,0.61246
542.6,0.6395
546.3,0.66461
550.9,0.69745
553.6,0.7187
557.3,0.73995
559.1,0.75927
561.8,0.77859
565.5,0.80563
569.2,0.82881
574.6,0.85972
579.2,0.89063
586.5,0.91768
592,0.937
596.6,0.95439
604.8,0.97179
609.4,0.99497
614.9,1.02009
618.5,1.04134
620.4,1.06645
623.1,1.0877
626.8,1.11088
629.5,1.1302
633.2,1.14372
639.6,1.15146
646,1.13795
650.6,1.11478
652.4,1.09161
655.1,1.06844
657.9,1.04913
659.7,1.02209
662.5,0.99892
664.3,0.98347
667,0.96416
668.9,0.94485
670.7,0.92941
676.2,0.91783
679.8,0.92556
682.6,0.94101
685.3,0.96419
686.2,0.98737
689,1.00669
692.6,1.03953
695.4,1.06271
695.4,1.08588
698.1,1.10327
699,1.12258
702.7,1.1419
706.4,1.15929
710,1.16316
713.7,1.15351
720.1,1.12841
723.7,1.07241
726.5,1.04151
727.4,1.01641
729.2,0.9913
731,0.95654
731,0.93337
733.8,0.90826
735.6,0.80204
735.6,0.8793
736.5,0.85226
737.5,0.82908
738.4,0.77501
738.4,0.73252
741.1,0.69776
742,0.663
742,0.6321
742.9,0.60506
743.9,0.57995
745.7,0.55099
746.6,0.48146
747.5,0.51236
748.4,0.45829
749.3,0.43511
749.3,0.40807
749.3,0.39262
752.1,0.36173
752.1,0.31537
753,0.34241
754.8,0.27675
755.7,0.24971
756.7,0.21881
757.6,0.18985
758.5,0.15315
760.3,0.12998
762.1,0.09908
764,0.07591
766.7,0.04887
769.5,0.01411
769.5,-0.01292
770.4,-0.00906
777.7,-0.02836
786.8,-0.03994
800.6,-0.04378
811.5,-0.0399
821.6,-0.03409
830.7,-0.02635
840.8,-0.02054
851.8,-0.01472
864.6,-0.01277
882.9,-0.00695
895.7,-0.00306
906.7,0.00275
923.1,0.00277
937.8,0.00473
950.6,8.9E-4
965.2,9.1E-4
979.8,0.00286
994.5,0.00289
1009.1,0.00291
1025.6,0.00294
1042.9,0.00297
1056.7,0.00299
1073.1,0.00301
1085.9,0.00497
1107,0.005
1122.5,0.00116
1140.8,0.00506
1156.4,0.00315
1172.8,0.00511
1190.2,0.0032
1208.5,0.00323
1225,0.00519
1241.4,0.00522
1259.7,0.00138
1279.8,0.00335
1294.5,0.00337
1305.4,0.00339
1318.2,0.00148
1334.7,0.00344
1352.1,0.0054
1367.6,0.00349
1382.3,0.00351
1398.7,0.00161
1414.3,0.00356
1430.7,0.00166
1444.5,0.00554
1464.6,0.00558
1481,0.00367
1497.5,0.00563
1511.2,0.00565
1526.8,0.00568
1542.3,0.0057
1557,0.00572
1567,0.00574
1578,0.00576
1589,0.00578
1600,0.00579
