wl,k
400,7.4E-5
410,8.63E-5
420,4.87E-5
430,3.01E-5
440,2.2E-5
450,1.72E-5
460,1.38E-5
470,1.15E-5
480,9.66E-6
490,8.47E-6
500,7.53E-6
510,6.76E-6
520,6.13E-6
530,5.59E-6
540,5.08E-6
550,4.67E-6
560,4.28E-6
570,3.96E-6
580,3.65E-6
590,3.42E-6
600,3.17E-6
610,2.98E-6
620,2.77E-6
630,2.6E-6
640,2.42E-6
650,2.32E-6
660,2.16E-6
670,2.09E-6
680,1.94E-6
690,1.84E-6
700,1.74E-6
710,1.73E-6
720,1.58E-6
730,1.6E-6
740,1.56E-6
750,1.45E-6
760,1.44E-6
770,1.42E-6
780,1.36E-6
790,1.3E-6
800,1.31E-6
810,1.26E-6
820,1.32E-6
830,7.38E-7
840,1.16E-6
850,9.67E-7
860,1.1E-6
870,9.9E-7
880,4.19E-6
890,3.69E-6
900,4.32E-6
910,1.25E-6
920,8.81E-7
930,2.97E-7
940,1.64E-6
950,1.31E-6
960,1.59E-6
970,8.12E-7
980,1.37E-6
990,2.84E-6
1000,3.76E-6
1010,1.9E-6
1020,1.85E-6
1030,1.6E-6
1040,1.66E-6
1050,1.66E-6
1060,1.56E-6
1070,1.59E-6
1080,1.53E-6
1090,1.6E-6
1100,1.76E-6
1110,1.97E-6
1120,4.15E-6
1130,7.44E-6
1140,7.08E-6
1150,4.32E-6
1160,3.15E-6
1170,3.36E-6
1180,3.79E-6
1190,4.11E-6
1200,2.26E-6
1210,1.95E-6
1220,1.69E-6
1230,1.86E-6
1240,1.52E-6
1250,1.52E-6
1260,1.67E-6
1270,2.63E-6
1280,1.92E-6
1290,1.77E-6
1300,1.86E-6
1310,2.03E-6
1320,2.18E-6
1330,2.61E-6
1340,3.04E-6
1350,3.72E-6
1360,4.73E-6
1370,5.73E-6
1380,6.76E-6
1390,7.05E-6
1400,9.09E-6
1410,1.18E-5
1420,8.8E-6
1430,7.2E-6
1440,5.92E-6
1450,5.41E-6
1460,5.48E-6
1470,5.24E-6
1480,2.1E-6
1490,3.8E-6
1500,3.43E-6
1510,3.29E-6
1520,3.19E-6
1530,3.04E-6
1540,3.02E-6
1550,3.34E-6
1560,2.93E-6
1570,3.11E-6
1580,3.4E-6
1590,3.93E-6
1600,4.94E-6
1610,7.1E-6
1620,1.23E-5
1630,1.94E-5
1640,3.09E-5
1650,5.94E-5
1660,1.06E-4
1670,1.22E-4
1680,6.83E-5
1690,5.32E-5
1700,3.9E-5
1710,2.65E-5
1720,2.31E-5
1730,2.42E-5
1740,2.41E-5
1750,1.77E-5
1760,1.65E-5
1770,1.78E-5
1780,1.53E-5
1790,1.44E-5
1800,1.53E-5
1810,1.59E-5
1820,1.65E-5
1830,1.73E-5
1840,1.7E-5
1850,1.74E-5
1860,1.78E-5
1870,1.88E-5
1880,2.16E-5
1890,3.46E-5
1900,8.32E-5
1910,8.36E-5
1920,4.9E-5
1930,3.46E-5
1940,3.45E-5
1950,3.19E-5
1960,2.49E-5
1970,2.11E-5
1980,1.89E-5
1990,1.86E-5
2000,1.86E-5
2009.7,2.01E-5
2019,2.64E-5
2028.5,3.8E-5
2038.1,5.96E-5
2047.8,6.13E-5
2057.5,6.49E-5
2067.3,7.25E-5
2077.3,8.3E-5
2087.3,8.91E-5
2097.5,9.52E-5
2107.7,8.76E-5
2118,9.21E-5
2128.5,8.56E-5
2139,8.43E-5
2149.6,7.83E-5
2156.8,7.6E-5
2167.6,6.92E-5
2178.5,6.44E-5
2189.6,6.04E-5
2197,5.71E-5
2208.2,5.8E-5
2219.6,7.01E-5
2227.2,8.45E-5
2238.7,1.14E-4
2246.5,1.4E-4
2258.2,0.0165
2266.1,0.0167
2278.1,0.00167
2286.1,0.00126
2298.3,0.00173
2306.5,0.0021
2318.8,0.00108
2327.2,6.33E-4
2339.8,0.00148
2348.2,0.00213
2356.8,0.00171
2369.7,0.00152
2378.4,0.00209
2387.2,0.00267
2396,0.00188
2409.3,0.00155
2418.3,0.00181
2427.4,0.0152
2436.5,0.0147
2445.7,0.0151
2459.6,0.016
2469,1.76E-4
2478.4,1.6E-4
2488,1.52E-4
2497.5,1.52E-4
2507.2,1.5E-4
2516.9,1.4E-4
2526.8,1.28E-4
2536.6,1.22E-4
2546.6,1.2E-4
2556.7,1.17E-4
2566.8,1.12E-4
2577,1.1E-4
2587.3,1.09E-4
2597.6,1.08E-4
2608.1,1.08E-4
2618.6,1.09E-4
2629.3,1.09E-4
2640,1.08E-4
2645.4,1.09E-4
2656.2,1.14E-4
2667.1,1.13E-4
2678.2,1.08E-4
2689.3,1.09E-4
2694.9,1.15E-4
2706.1,1.43E-4
2717.5,0.0154
2728.9,0.0158
2734.7,0.0161
2746.2,0.0165
2757.9,0.0166
2769.7,0.0158
2775.6,0.0156
2787.6,0.0155
2799.6,0.0158
2805.7,0.0159
2817.9,0.0158
2824,0.0158
2836.4,0.0161
2848.9,0.0164
2855.1,0.0166
2867.8,0.0171
2874.1,0.017
2886.9,0.0158
2899.8,0.0146
2906.3,0.0148
2919.4,0.0148
2926,0.0145
2939.3,0.0147
2946,0.0148
2959.4,0.0143
2966.2,0.0139
2979.8,0.0137
2986.7,0.014
2993.6,0.0143
3007.5,0.0143
3014.5,0.014
3028.6,0.0136
3035.7,0.0135
3049.9,0.0138
3057.1,0.0141
3064.4,0.0141
3078.9,0.0135
3086.3,0.0131
3093.6,0.0127
3108.5,0.0121
3115.9,0.0122
3123.4,0.0127
3138.6,0.0128
3146.2,0.0125
3153.8,0.0125
3169.3,0.0127
3177,0.0127
3184.8,0.0129
3192.7,0.0135
3208.5,0.0149
3216.4,0.0157
3224.4,0.0164
3232.5,0.0169
3248.7,0.0173
3256.9,0.0177
3265.1,0.0178
3273.3,0.0176
3289.9,0.0171
3298.3,0.0163
3306.7,0.0153
3315.2,0.0148
3323.7,0.015
3332.2,0.0157
3349.4,0.0196
3358.1,0.0226
3366.8,0.0245
3375.6,0.0242
3384.4,0.0222
3393.3,0.0205
