wl,k
400,2.31E-6
410,1.99E-6
420,1.76E-6
430,1.59E-6
440,1.48E-6
450,1.4E-6
460,1.37E-6
470,1.35E-6
480,1.33E-6
490,1.35E-6
500,1.32E-6
510,1.36E-6
520,1.36E-6
530,1.35E-6
540,1.33E-6
550,1.32E-6
560,1.36E-6
570,1.4E-6
580,1.39E-6
590,1.38E-6
600,1.29E-6
610,1.29E-6
620,1.25E-6
630,1.23E-6
640,1.17E-6
650,1.09E-6
660,1.01E-6
670,9.51E-7
680,9.11E-7
690,8.72E-7
700,8.64E-7
710,8.6E-7
720,8.52E-7
730,8.32E-7
740,8.28E-7
750,7.84E-7
760,7.43E-7
770,7.56E-7
780,7.45E-7
790,7.64E-7
800,7.56E-7
810,7.49E-7
820,8.66E-7
830,1.17E-6
840,6.77E-7
850,7.58E-7
860,7.04E-7
870,6.26E-7
880,7.57E-6
890,7.81E-6
900,7.73E-6
910,7.75E-6
920,7.45E-6
930,7.75E-6
940,7.79E-6
950,7.85E-6
960,1.14E-6
970,4E-6
980,4.12E-6
990,5.11E-6
1000,9.11E-6
1010,1.02E-6
1020,1.08E-6
1030,1.19E-6
1040,1.26E-6
1050,1.22E-6
1060,1.15E-6
1070,1.09E-6
1080,1.14E-6
1090,8.04E-7
1100,1.23E-6
1110,1.79E-6
1120,3.28E-6
1130,6.05E-6
1140,3.69E-6
1150,3.17E-6
1160,3.65E-6
1170,4.3E-6
1180,5.02E-6
1190,4.41E-6
1200,2.84E-6
1210,2.13E-6
1220,1.77E-6
1230,1.67E-6
1240,1.48E-6
1250,1.43E-6
1260,1.1E-6
1270,1.63E-6
1280,1.59E-6
1290,1.58E-6
1300,1.56E-6
1310,1.73E-6
1320,1.77E-6
1330,2.08E-6
1340,2.37E-6
1350,3.75E-6
1360,5.65E-6
1370,5.95E-6
1380,7.38E-6
1390,7.4E-6
1400,8.39E-6
1410,9.28E-6
1420,9.06E-6
1430,7.88E-6
1440,6.34E-6
1450,5.54E-6
1460,5.43E-6
1470,4.67E-6
1480,3.52E-6
1490,3.57E-6
1500,3.48E-6
1510,3.14E-6
1520,2.69E-6
1530,2.82E-6
1540,2.65E-6
1550,2.45E-6
1560,3.09E-6
1570,3.08E-6
1580,3.4E-6
1590,3.55E-6
1600,4.29E-6
1610,6.02E-6
1620,8.8E-6
1630,1.22E-5
1640,2.89E-5
1650,6.78E-5
1660,1.13E-4
1670,7.27E-5
1680,5.66E-5
1690,4.59E-5
1700,4.27E-5
1710,4.01E-5
1720,4.38E-5
1730,4.5E-5
1740,3.58E-5
1750,2.86E-5
1760,2.7E-5
1770,2.56E-5
1780,2.09E-5
1790,2.01E-5
1800,2.1E-5
1810,2.14E-5
1820,2.04E-5
1830,2.07E-5
1840,1.69E-5
1850,1.65E-5
1860,1.76E-5
1870,1.95E-5
1880,1.9E-5
1890,2.49E-5
1900,4.51E-5
1910,5.06E-5
1920,3.61E-5
1930,2.77E-5
1940,2.83E-5
1950,3.33E-5
1960,2.9E-5
