wl,k
400,2.72E-6
410,2.35E-6
420,2.16E-6
430,1.96E-6
440,1.82E-6
450,1.71E-6
460,1.64E-6
470,1.6E-6
480,1.58E-6
490,1.61E-6
500,1.67E-6
510,1.75E-6
520,1.83E-6
530,1.96E-6
540,2.09E-6
550,2.17E-6
560,2.2E-6
570,2.27E-6
580,2.34E-6
590,2.3E-6
600,2.15E-6
610,2E-6
620,1.9E-6
630,1.8E-6
640,1.68E-6
650,1.54E-6
660,1.44E-6
670,1.29E-6
680,1.14E-6
690,1.01E-6
700,8.96E-7
710,8.02E-7
720,7.67E-7
730,7.15E-7
740,7.07E-7
750,7.06E-7
760,6.66E-7
770,6.6E-7
780,6.47E-7
790,6.13E-7
800,6.16E-7
810,6.26E-7
820,5.3E-7
830,5.22E-7
840,5.1E-7
850,4.62E-7
860,4.5E-7
870,7.13E-7
880,1.08E-6
890,1.04E-6
900,8.17E-7
910,1.02E-6
920,9.17E-7
930,4.52E-7
940,3.63E-7
950,1.34E-7
960,6.2E-7
970,5.58E-7
980,4.46E-7
990,3.32E-7
1000,2.32E-7
1010,6.76E-7
1020,9.18E-7
1030,9.27E-7
1040,8.74E-7
1050,7.94E-7
1060,7.77E-7
1070,7.02E-7
1080,6.53E-7
1090,6.57E-7
1100,5.95E-7
1110,6.26E-7
1120,7.26E-7
1130,8.41E-7
1140,1.32E-6
1150,1.86E-6
1160,3.63E-6
1170,6.46E-6
1180,6.57E-6
1190,7.64E-6
1200,7.76E-6
1210,5.14E-6
1220,3.08E-6
1230,2.07E-6
1240,1.6E-6
1250,1.35E-6
1260,1.23E-6
1270,9E-7
1280,1.05E-6
1290,9.67E-7
1300,9.31E-7
1310,8.83E-7
1320,8.35E-7
1330,8.65E-7
1340,9.25E-7
1350,1.1E-6
1360,1.56E-6
1370,2.42E-6
1380,5.17E-6
1390,5.99E-6
1400,7.58E-6
1410,7.68E-6
1420,8.18E-6
1430,8.03E-6
1440,5.3E-6
1450,4.32E-6
1460,3.61E-6
1470,3.41E-6
1480,2.2E-6
1490,2.74E-6
1500,2.36E-6
1510,2.24E-6
1520,2.24E-6
1530,2.16E-6
1540,1.85E-6
1550,2.04E-6
1560,1.9E-6
1570,1.81E-6
1580,1.85E-6
1590,1.92E-6
1600,1.98E-6
1610,2.11E-6
1620,2.31E-6
1630,2.52E-6
